,major_violation_personal_hygiene,restaurant_address_address,restaurant_address_city,:@computed_region_5s6d_2f32,minor_violation_personal_hygiene,:@computed_region_x3q3_gi3e,major_violation_inadequate_cooking,major_violation_improper_holding_temperature,restaurant_address_zip,major_violation_unsafe_food_source,inspection_date,:@computed_region_3ini_iehf,w3alcd,minor_violation_unsafe_food_source,major_violation_contaminated_equipment,minor_violation_improper_holding_temperature,minor_violation_inadequate_cooking,minor_violation_contaminated_equipment,indbdate,restaurant_address_state,doing_business_as,:@computed_region_5bih_7r3y,coordinates,major_sum,minor_sum
622,0,3350 ADELINE ST,BERKELEY,1495,0,7,0,0,,0,2019-07-29T00:00:00.000,3,FA0000614,0,0,0,0,0,2019-10-14T05:00:01.000,CA,SWEET ADELINE BAKERY,15,"[-122.272125, 37.84732]",0,0
623,0,1736 SOLANO AVE,BERKELEY,1499,0,3,0,1,,0,2019-08-14T00:00:00.000,1,FA0001586,0,0,0,0,0,2019-10-14T05:00:01.000,CA,SWEET BASIL THAI,14,"[-122.281624, 37.891245]",1,0
624,0,2901 COLLEGE AVE,BERKELEY,1497,0,6,0,0,,0,2018-12-10T00:00:00.000,13,FA0000185,0,0,0,0,0,2019-10-14T05:00:01.000,CA,SWEET DREAMS,19,"[-122.253174, 37.858309]",0,0
625,0,1890 SHATTUCK AVE,BERKELEY,1501,0,1,0,0,,0,2019-03-08T00:00:00.000,11,FA0001666,0,0,0,0,0,2019-10-14T05:00:01.000,CA,SWEETGREEN,3,"[-122.268666, 37.874025]",0,0
626,0,2523 DURANT AVE,BERKELEY,1496,0,2,0,0,,0,2019-08-16T00:00:00.000,12,FA0002043,0,0,0,0,0,2019-10-14T05:00:02.000,CA,SWEET HEART CAFE & TEA,18,"[-122.258483, 37.867878]",0,0
627,0,2528 DURANT AVE,BERKELEY,1496,0,2,0,0,,0,2019-04-17T00:00:00.000,12,FA0001761,0,0,0,0,0,2019-10-14T05:00:01.000,CA,TACO BELL CANTINA,18,"[-122.258344, 37.867895]",0,0
628,0,2384 TELEGRAPH AVE,BERKELEY,1496,0,2,0,0,,0,2019-08-13T00:00:00.000,12,FA0001587,0,0,0,0,0,2019-10-14T05:00:01.000,CA,TACOS SINALOA,18,"[-122.258865, 37.867181]",0,0
629,0,1782 4TH ST,BERKELEY,1502,0,5,0,0,,0,2019-07-18T00:00:00.000,6,FA0001982,0,0,0,0,0,2019-10-14T05:00:02.000,CA,TACUBAYA,11,"[-122.300923, 37.870839]",0,0
630,0,2811 TELEGRAPH AVE,BERKELEY,1497,0,2,0,0,,0,2019-09-10T00:00:00.000,12,FA0000382,0,0,1,0,0,2019-10-14T05:00:01.000,CA,TAI-SAN RESTAURANT,21,"[-122.259236, 37.859079]",0,1
631,0,2433 DURANT AVE,BERKELEY,1496,0,2,0,0,,0,2019-09-16T00:00:00.000,12,FA0002125,0,0,0,0,0,2019-10-14T05:00:02.000,CA,TAKE.EAT.EASY,18,"[-122.259777, 37.867712]",0,0
632,0,2379 TELEGRAPH AVE,BERKELEY,1496,0,2,0,0,,0,2019-09-30T00:00:00.000,12,FA0000319,0,0,0,0,0,2019-10-14T05:00:01.000,CA,TAKO SUSHI,18,"[-122.258889, 37.867301]",0,0
633,0,2055-A CENTER ST,BERKELEY,1496,0,1,0,0,,0,2019-05-15T00:00:00.000,11,FA0002032,0,0,0,0,0,2019-10-14T05:00:02.000,CA,TAMON TEA,32,"[-122.269253, 37.870147]",0,0
634,0,2971 SHATTUCK AVE,BERKELEY,1497,0,7,0,0,,0,2019-09-05T00:00:00.000,2,FA0000374,0,0,1,0,1,2019-10-14T05:00:01.000,CA,TAQUERIA LA FAMILIA,13,"[-122.26654, 37.85561]",0,2
